Date,From,To,Start ME,Stop ME,Running Minutes,Fuel Daily Consumption,Opening Fuel Tank Sounding,Closing Fuel Tank Sounding,Fuel Tank Stock After
22-05-2023,Running ME/Stand by,Running ME/Stand by,17:32:00,17:40:00,0:08,55.2,14.1,13.1,1007
22-05-2023,SOMBER,PSTB,17:40:00,18:10:00,0:30,55.2,14.1,13.1,1007
22-05-2023,Running ME/Stand by,Running ME/Stand by,18:10:00,18:15:00,0:05,55.2,14.1,13.1,1007
22-05-2023,PSTB,SOMBER,18:15:00,18:48:00,0:33,55.2,14.1,13.1,1007
22-05-2023,SOMBER,PSTB,19:25:00,20:05:00,0:40,55.2,14.1,13.1,1007
23-05-2023,PSTB,SOMBER,4:55:00,5:33:00,0:38,55.2,23.7,22.5,952
23-05-2023,Running ME/Stand by,Running ME/Stand by,5:33:00,5:40:00,0:07,55.2,23.7,22.5,952
23-05-2023,SOMBER,PSTB,5:40:00,6:10:00,0:30,55.2,23.7,22.5,952
23-05-2023,Running ME/Stand by,Running ME/Stand by,6:10:00,6:15:00,0:05,55.2,23.7,22.5,952
23-05-2023,PSTB,SOMBER,6:15:00,6:50:00,0:35,55.2,23.7,22.5,952
23-05-2023,SOMBER,PSTB,7:40:00,8:20:00,0:40,55.2,23.7,22.5,952
23-05-2023,PSTB,SOMBER,16:50:00,17:25:00,0:35,55.2,23.7,22.5,952
23-05-2023,Running ME/Stand by,Running ME/Stand by,17:25:00,17:30:00,0:05,55.2,23.7,22.5,952
23-05-2023,SOMBER,PSTB,17:30:00,18:00:00,0:30,55.2,23.7,22.5,952
23-05-2023,Running ME/Stand by,Running ME/Stand by,18:00:00,18:05:00,0:05,55.2,23.7,22.5,952
23-05-2023,PSTB,SOMBER,18:05:00,18:37:00,0:32,55.2,23.7,22.5,952
23-05-2023,SOMBER,PSTB,19:45:00,20:28:00,0:43,55.2,23.7,22.5,952
24-05-2023,PSTB,SOMBER,4:55:00,5:20:00,0:25,55.2,22.5,21.3,897
24-05-2023,Running ME/Stand by,Running ME/Stand by,5:20:00,5:25:00,0:05,55.2,22.5,21.3,897
24-05-2023,SOMBER,PSTB,5:25:00,5:55:00,0:30,55.2,22.5,21.3,897
24-05-2023,Running ME/Stand by,Running ME/Stand by,5:55:00,6:00:00,0:05,55.2,22.5,21.3,897
24-05-2023,PSTB,SOMBER,6:00:00,6:35:00,0:35,55.2,22.5,21.3,897
24-05-2023,SOMBER,PSTB,7:35:00,8:25:00,0:50,55.2,22.5,21.3,897
24-05-2023,PSTB,SOMBER,17:00:00,17:35:00,0:35,55.2,22.5,21.3,897
24-05-2023,Running ME/Stand by,Running ME/Stand by,17:35:00,17:40:00,0:05,55.2,22.5,21.3,897
24-05-2023,SOMBER,PSTB,17:40:00,18:10:00,0:30,55.2,22.5,21.3,897
24-05-2023,Running ME/Stand by,Running ME/Stand by,18:10:00,18:15:00,0:05,55.2,22.5,21.3,897
24-05-2023,PSTB,SOMBER,18:15:00,18:50:00,0:35,55.2,22.5,21.3,897
24-05-2023,SOMBER,PSTB,19:30:00,20:08:00,0:38,55.2,22.5,21.3,897
